Word,Count,Count in %
And;1;0,47
At;1;0,47
Chorus;1;0,47
Flag;1;0,47
For;1;0,47
In;1;0,47
Justice;1;0,47
King;1;0,47
Mother;1;0,47
Peace;1;0,47
The;1;0,47
To;1;0,47
and;1;0,47
at;1;0,47
been;1;0,47
blood;1;0,47
breast;1;0,47
cannons;1;0,47
cease;1;0,47
could;1;0,47
dear;1;0,47
devotion;1;0,47
die;1;0,47
do;1;0,47
don;1;0,47
each;1;0,47
ends;1;0,47
exult;1;0,47
foes;1;0,47
hear;1;0,47
hope;1;0,47
insult;1;0,47
it;1;0,47
known;1;0,47
laid;1;0,47
lov;1;0,47
make;1;0,47
manly;1;0,47
might;1;0,47
ocean;1;0,47
on;1;0,47
one;1;0,47
or;1;0,47
peace;1;0,47
pride;1;0,47
rally;1;0,47
rul;1;0,47
serve;1;0,47
ships;1;0,47
sing;1;0,47
stand;1;0,47
start;1;0,47
stood;1;0,47
t;1;0,47
that;1;0,47
their;1;0,47
true;1;0,47
trust;1;0,47
unfurl;1;0,47
want;1;0,47
war;1;0,47
when;1;0,47
world;1;0,47
would;1;0,47
you;1;0,47
But;2;0,94
God;2;0,94
all;2;0,94
call;2;0,94
has;2;0,94
love;2;0,94
of;2;0,94
our;2;0,94
save;2;0,94
they;2;0,94
us;2;0,94
We;3;1,42
best;3;1,42
for;3;1,42
show;3;1,42
d;4;1,89
fall;4;1,89
fight;4;1,89
have;4;1,89
to;4;1,89
always;5;2,36
let;5;2,36
old;5;2,36
we;5;2,36
will;5;2,36
her;6;2,83
ll;6;2,83
never;6;2,83
sons;6;2,83
flag;7;3,30
Britain;12;5,66
the;12;5,66
s;13;6,13
